,Paths,Folders,Label
0,data\Lab_New\ML1_NEW\slice00251_bbox_raw_1.png,ML1_NEW,2
1,data\Lab_New\ML1_NEW\slice00251_bbox_raw_2.png,ML1_NEW,2
2,data\Lab_New\ML1_NEW\slice00251_bbox_raw_3.png,ML1_NEW,2
3,data\Lab_New\ML1_NEW\slice00251_bbox_raw_4.png,ML1_NEW,2
4,data\Lab_New\ML1_NEW\slice00251_bbox_raw_5.png,ML1_NEW,2
5,data\Lab_New\ML1_NEW\slice00251_bbox_raw_6.png,ML1_NEW,2
6,data\Lab_New\ML1_NEW\slice00251_bbox_raw_7.png,ML1_NEW,2
7,data\Lab_New\ML1_NEW\slice00251_bbox_raw_8.png,ML1_NEW,2
8,data\Lab_New\ML1_NEW\slice00251_mar_raw_1.png,ML1_NEW,2
9,data\Lab_New\ML1_NEW\slice00251_mar_raw_2.png,ML1_NEW,2
10,data\Lab_New\ML1_NEW\slice00251_mar_raw_3.png,ML1_NEW,2
11,data\Lab_New\ML1_NEW\slice00251_mar_raw_4.png,ML1_NEW,2
12,data\Lab_New\ML1_NEW\slice00251_mar_raw_5.png,ML1_NEW,2
13,data\Lab_New\ML1_NEW\slice00251_mar_raw_6.png,ML1_NEW,2
14,data\Lab_New\ML1_NEW\slice00251_mar_raw_7.png,ML1_NEW,2
15,data\Lab_New\ML1_NEW\slice00251_mar_raw_8.png,ML1_NEW,2
16,data\Lab_New\ML1_NEW\slice00261_bbox_raw_1.png,ML1_NEW,2
17,data\Lab_New\ML1_NEW\slice00261_bbox_raw_2.png,ML1_NEW,2
18,data\Lab_New\ML1_NEW\slice00261_bbox_raw_3.png,ML1_NEW,2
19,data\Lab_New\ML1_NEW\slice00261_bbox_raw_4.png,ML1_NEW,2
20,data\Lab_New\ML1_NEW\slice00261_bbox_raw_5.png,ML1_NEW,2
21,data\Lab_New\ML1_NEW\slice00261_bbox_raw_6.png,ML1_NEW,2
22,data\Lab_New\ML1_NEW\slice00261_bbox_raw_7.png,ML1_NEW,2
23,data\Lab_New\ML1_NEW\slice00261_bbox_raw_8.png,ML1_NEW,2
24,data\Lab_New\ML1_NEW\slice00261_mar_raw_1.png,ML1_NEW,2
25,data\Lab_New\ML1_NEW\slice00261_mar_raw_2.png,ML1_NEW,2
26,data\Lab_New\ML1_NEW\slice00261_mar_raw_3.png,ML1_NEW,2
27,data\Lab_New\ML1_NEW\slice00261_mar_raw_4.png,ML1_NEW,2
28,data\Lab_New\ML1_NEW\slice00261_mar_raw_5.png,ML1_NEW,2
29,data\Lab_New\ML1_NEW\slice00261_mar_raw_6.png,ML1_NEW,2
30,data\Lab_New\ML1_NEW\slice00261_mar_raw_7.png,ML1_NEW,2
31,data\Lab_New\ML1_NEW\slice00261_mar_raw_8.png,ML1_NEW,2
32,data\Lab_New\ML1_NEW\slice00271_bbox_raw_1.png,ML1_NEW,2
33,data\Lab_New\ML1_NEW\slice00271_bbox_raw_2.png,ML1_NEW,2
34,data\Lab_New\ML1_NEW\slice00271_bbox_raw_3.png,ML1_NEW,2
35,data\Lab_New\ML1_NEW\slice00271_bbox_raw_4.png,ML1_NEW,2
36,data\Lab_New\ML1_NEW\slice00271_bbox_raw_5.png,ML1_NEW,2
37,data\Lab_New\ML1_NEW\slice00271_bbox_raw_6.png,ML1_NEW,2
38,data\Lab_New\ML1_NEW\slice00271_bbox_raw_7.png,ML1_NEW,2
39,data\Lab_New\ML1_NEW\slice00271_bbox_raw_8.png,ML1_NEW,2
40,data\Lab_New\ML1_NEW\slice00271_mar_raw_1.png,ML1_NEW,2
41,data\Lab_New\ML1_NEW\slice00271_mar_raw_2.png,ML1_NEW,2
42,data\Lab_New\ML1_NEW\slice00271_mar_raw_3.png,ML1_NEW,2
43,data\Lab_New\ML1_NEW\slice00271_mar_raw_4.png,ML1_NEW,2
44,data\Lab_New\ML1_NEW\slice00271_mar_raw_5.png,ML1_NEW,2
45,data\Lab_New\ML1_NEW\slice00271_mar_raw_6.png,ML1_NEW,2
46,data\Lab_New\ML1_NEW\slice00271_mar_raw_7.png,ML1_NEW,2
47,data\Lab_New\ML1_NEW\slice00271_mar_raw_8.png,ML1_NEW,2
48,data\Lab_New\ML1_NEW\slice00281_bbox_raw_1.png,ML1_NEW,2
49,data\Lab_New\ML1_NEW\slice00281_bbox_raw_2.png,ML1_NEW,2
50,data\Lab_New\ML1_NEW\slice00281_bbox_raw_3.png,ML1_NEW,2
51,data\Lab_New\ML1_NEW\slice00281_bbox_raw_4.png,ML1_NEW,2
52,data\Lab_New\ML1_NEW\slice00281_bbox_raw_5.png,ML1_NEW,2
53,data\Lab_New\ML1_NEW\slice00281_bbox_raw_6.png,ML1_NEW,2
54,data\Lab_New\ML1_NEW\slice00281_bbox_raw_7.png,ML1_NEW,2
55,data\Lab_New\ML1_NEW\slice00281_mar_raw_1.png,ML1_NEW,2
56,data\Lab_New\ML1_NEW\slice00281_mar_raw_2.png,ML1_NEW,2
57,data\Lab_New\ML1_NEW\slice00281_mar_raw_3.png,ML1_NEW,2
58,data\Lab_New\ML1_NEW\slice00281_mar_raw_4.png,ML1_NEW,2
59,data\Lab_New\ML1_NEW\slice00281_mar_raw_5.png,ML1_NEW,2
60,data\Lab_New\ML1_NEW\slice00281_mar_raw_6.png,ML1_NEW,2
61,data\Lab_New\ML1_NEW\slice00281_mar_raw_7.png,ML1_NEW,2
62,data\Lab_New\ML1_NEW\slice00291_bbox_raw_1.png,ML1_NEW,2
