,Paths,Folders,Label
0,data/Train/BL3-4-DL/slice01230 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-4-DL/,0
1,data/Train/BL3-4-DL/slice00590 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-4-DL/,0
2,data/Train/BL3-4-DL/slice00910 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-4-DL/,0
3,data/Train/BL3-4-DL/slice00220 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
4,data/Train/BL3-4-DL/slice00760 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-4-DL/,0
5,data/Train/BL3-4-DL/slice01320 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-4-DL/,0
6,data/Train/BL3-4-DL/slice00350 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
7,data/Train/BL3-4-DL/slice01080 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-4-DL/,0
8,data/Train/BL3-4-DL/slice01320 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
9,data/Train/BL3-4-DL/slice00970 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
10,data/Train/BL3-4-DL/slice00830 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
11,data/Train/BL3-4-DL/slice01100 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-4-DL/,0
12,data/Train/BL3-4-DL/slice01210 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
13,data/Train/BL3-4-DL/slice00380 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-4-DL/,0
14,data/Train/BL3-4-DL/slice00550 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-4-DL/,0
15,data/Train/BL3-4-DL/slice01320 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
16,data/Train/BL3-4-DL/slice01190 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-4-DL/,0
17,data/Train/BL3-4-DL/slice00350 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-4-DL/,0
18,data/Train/BL3-4-DL/slice00430 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
19,data/Train/BL3-4-DL/slice01020 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-4-DL/,0
20,data/Train/BL3-4-DL/slice01050 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
21,data/Train/BL3-4-DL/slice00400 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
22,data/Train/BL3-4-DL/slice00560 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-4-DL/,0
23,data/Train/BL3-4-DL/slice00490 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-4-DL/,0
24,data/Train/BL3-4-DL/slice01010 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-4-DL/,0
25,data/Train/BL3-4-DL/slice00780 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-4-DL/,0
26,data/Train/BL3-4-DL/slice00730 (2020_05_17 16_28_34 UTC)_mar_raw_5.png,BL3-4-DL/,0
27,data/Train/BL3-4-DL/slice01200 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-4-DL/,0
28,data/Train/BL3-4-DL/slice01200 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-4-DL/,0
29,data/Train/BL3-4-DL/slice00690 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-4-DL/,0
30,data/Train/BL3-4-DL/slice00500 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-4-DL/,0
31,data/Train/BL3-4-DL/slice01140 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-4-DL/,0
32,data/Train/BL3-4-DL/slice01060 (2020_05_17 16_28_34 UTC)_mar_raw_7.png,BL3-4-DL/,0
33,data/Train/BL3-4-DL/slice00570 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
34,data/Train/BL3-4-DL/slice00270 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-4-DL/,0
35,data/Train/BL3-4-DL/slice00450 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-4-DL/,0
36,data/Train/BL3-4-DL/slice00450 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-4-DL/,0
37,data/Train/BL3-4-DL/slice00320 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-4-DL/,0
38,data/Train/BL3-4-DL/slice01210 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-4-DL/,0
39,data/Train/BL3-4-DL/slice01110 (2020_05_17 16_28_34 UTC)_mar_raw_2.png,BL3-4-DL/,0
40,data/Train/BL3-4-DL/slice00750 (2020_05_17 16_28_34 UTC)_mar_raw_3.png,BL3-4-DL/,0
41,data/Train/BL3-4-DL/slice00860 (2020_05_17 16_28_34 UTC)_mar_raw_6.png,BL3-4-DL/,0
42,data/Train/BL3-4-DL/slice00960 (2020_05_17 16_28_34 UTC)_mar_raw_1.png,BL3-4-DL/,0
43,data/Train/BL3-4-DL/slice00300 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-4-DL/,0
44,data/Train/BL3-4-DL/slice01040 (2020_05_17 16_28_34 UTC)_mar_raw_4.png,BL3-4-DL/,0
